rrdistance,parid,luc_desc,taxdist_desc
15592.34627,2001844,Mobile Homes,UNINCORPORATED - WESTSIDE
16271.56588,2002093,Vacant Residential,UNINCORPORATED - WESTSIDE
29908.27785,2574283,"Mixed Use, Store/Office/Resi",DELTONA
27628.73586,2574968,Vacant Commercial,DELTONA
49599.93526,2575883,Vacant Residential,DELTONA
48843.51363,2576766,Vacant Residential,DELTONA
27844.02631,2002522,"Timberland, Index 70-79",UNINCORPORATED - WESTSIDE
688.7766778,2022655,Vacant Residential,PIERSON
4724.907847,2003189,Single Family,UNINCORPORATED - WESTSIDE
177.5492522,2004070,"Ornamentals, Misc Ag",UNINCORPORATED - WESTSIDE
243.3590563,2004118,Single Family,UNINCORPORATED - WESTSIDE
409.7029525,2004274,"Cropland, Class III",UNINCORPORATED - WESTSIDE
2994.631873,2004622,Single Family,UNINCORPORATED - WESTSIDE
3049.380755,2005114,"Ornamentals, Misc Ag",UNINCORPORATED - WESTSIDE
4488.271937,2004894,Single Family,UNINCORPORATED - WESTSIDE
2254.073755,2005033,Mobile Homes,UNINCORPORATED - WESTSIDE
807.6654434,2005556,Vacant Residential,UNINCORPORATED - WESTSIDE
739.7358708,2005831,"Ornamentals, Misc Ag",UNINCORPORATED - WESTSIDE
1551.335902,2005858,"Ornamentals, Misc Ag",UNINCORPORATED - WESTSIDE
751.9496955,2022671,Vacant Residential,PIERSON
1888.828737,2006137,Vacant Residential,UNINCORPORATED - WESTSIDE
429.5299456,2007109,Vacant Residential,UNINCORPORATED - WESTSIDE
803.9161408,2007290,Single Family,UNINCORPORATED - WESTSIDE
822.5852585,2007303,Vacant Residential,UNINCORPORATED - WESTSIDE
1157.909941,2007419,Mobile Homes,UNINCORPORATED - WESTSIDE
1723.203392,3481879,Multi-Family(Less than 10 Units),DAYTONA BEACH
1723.75939,3481887,Vacant Residential,DAYTONA BEACH
238.448899,2007532,Vacant Commercial,UNINCORPORATED - WESTSIDE
470.4299274,2018305,Single Family,PIERSON
140.7906478,2008105,"Mixed Use, Store/Office/Resi",UNINCORPORATED - WESTSIDE
7557.812494,2008971,"Grazing, Class II",UNINCORPORATED - WESTSIDE
7085.237526,2009021,"Grazing, Class II",UNINCORPORATED - WESTSIDE
